time,open,high,low,close,volume
1993-05-12,1.537000,1.544500,1.529000,1.533800,2781
1993-05-13,1.532800,1.536000,1.518000,1.522500,2571
1993-05-14,1.522800,1.541500,1.520000,1.538700,2711
1993-05-17,1.536500,1.546000,1.530900,1.535500,2921
1993-05-18,1.535000,1.538000,1.523700,1.536500,2711
1993-05-19,1.535000,1.548200,1.532800,1.543200,2261
1993-05-20,1.542500,1.560300,1.538300,1.556500,3001
1993-05-21,1.554800,1.559200,1.539000,1.542500,2811
1993-05-24,1.540000,1.545000,1.528900,1.536500,2871
1993-05-25,1.538500,1.547000,1.534500,1.542000,2151
1993-05-26,1.542000,1.550500,1.541000,1.547200,1381
1993-05-27,1.545300,1.565000,1.542500,1.562000,2831
1993-05-28,1.561000,1.568000,1.553500,1.560700,2871
1993-05-31,1.560500,1.563000,1.556000,1.561000,1351
1993-06-01,1.561300,1.567000,1.546000,1.555500,3621
1993-06-02,1.554400,1.556000,1.536400,1.540000,2481
1993-06-03,1.540300,1.550100,1.537000,1.550100,1641
1993-06-04,1.549000,1.550500,1.506000,1.508500,4851
1993-06-07,1.506300,1.526800,1.506000,1.526800,2111
1993-06-08,1.525300,1.526500,1.513500,1.520500,2121
1993-06-09,1.519500,1.527000,1.506900,1.515200,3591
1993-06-10,1.513700,1.532500,1.507000,1.530500,3421
1993-06-11,1.529300,1.540500,1.518500,1.521500,3621
1993-06-14,1.519000,1.533000,1.519000,1.528500,1851
1993-06-15,1.527500,1.535500,1.514000,1.516500,3201
1993-06-16,1.515500,1.520000,1.498000,1.506200,3471
1993-06-17,1.505500,1.518700,1.498500,1.514000,3191
1993-06-18,1.514200,1.517000,1.492000,1.497500,3331
1993-06-21,1.494000,1.498000,1.479900,1.488500,3071
1993-06-22,1.488300,1.490500,1.474000,1.477800,2251
1993-06-23,1.478000,1.481000,1.467000,1.473500,2351
1993-06-24,1.472000,1.476100,1.463700,1.469000,2181
1993-06-25,1.468300,1.483500,1.467000,1.476200,2511
1993-06-28,1.478500,1.497500,1.475000,1.495900,2761
1993-06-29,1.495400,1.515500,1.489400,1.512300,3531
1993-06-30,1.512000,1.513500,1.488500,1.490800,2881
1993-07-01,1.489800,1.517500,1.486700,1.515000,3641
1993-07-02,1.515000,1.525500,1.505500,1.507000,3201
1993-07-05,1.508000,1.514500,1.504500,1.510500,1751
1993-07-06,1.509500,1.513000,1.501500,1.504000,1751
1993-07-07,1.503000,1.507700,1.490000,1.495500,2791
1993-07-08,1.494200,1.499500,1.489000,1.497000,1821
1993-07-09,1.495000,1.499000,1.476500,1.480000,3001
1993-07-12,1.484000,1.487500,1.472000,1.479000,2601
1993-07-13,1.478000,1.499500,1.473500,1.497000,3301
1993-07-14,1.497800,1.505200,1.488500,1.502500,2871
1993-07-15,1.502500,1.503500,1.484500,1.489000,2451
1993-07-16,1.490500,1.491500,1.474000,1.486000,3051
1993-07-19,1.484500,1.501800,1.483000,1.499500,2261
