symbol,timeframe,bars,from,to,file
XAUUSD,M1,4140,2026-02-27 23:28,2026-03-04 23:27,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAUUSD\XAUUSD_M1.csv
XAUUSD,M5,828,2026-02-27 23:30,2026-03-04 23:25,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAUUSD\XAUUSD_M5.csv
XAUUSD,M15,276,2026-02-27 23:30,2026-03-04 23:15,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAUUSD\XAUUSD_M15.csv
XAUUSD,H1,69,2026-03-02 01:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAUUSD\XAUUSD_H1.csv
XAUUSD,H4,18,2026-03-02 00:00,2026-03-04 20:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAUUSD\XAUUSD_H4.csv
XAUUSD,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAUUSD\XAUUSD_D1.csv
AUDUSD,M1,4313,2026-02-27 23:28,2026-03-04 23:24,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\AUDUSD\AUDUSD_M1.csv
AUDUSD,M5,863,2026-02-27 23:30,2026-03-04 23:20,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\AUDUSD\AUDUSD_M5.csv
AUDUSD,M15,288,2026-02-27 23:30,2026-03-04 23:15,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\AUDUSD\AUDUSD_M15.csv
AUDUSD,H1,72,2026-03-02 00:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\AUDUSD\AUDUSD_H1.csv
AUDUSD,H4,18,2026-03-02 00:00,2026-03-04 20:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\AUDUSD\AUDUSD_H4.csv
AUDUSD,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\AUDUSD\AUDUSD_D1.csv
GER40,M1,4004,2026-03-02 01:05,2026-03-04 23:14,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GER40\GER40_M1.csv
GER40,M5,803,2026-03-02 01:05,2026-03-04 23:10,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GER40\GER40_M5.csv
GER40,M15,268,2026-03-02 01:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GER40\GER40_M15.csv
GER40,H1,69,2026-03-02 01:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GER40\GER40_H1.csv
GER40,H4,18,2026-03-02 00:00,2026-03-04 20:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GER40\GER40_H4.csv
GER40,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GER40\GER40_D1.csv
US30,M1,2767,2026-02-27 23:30,2026-03-04 01:09,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US30\US30_M1.csv
US30,M5,819,2026-02-27 23:30,2026-03-04 23:10,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US30\US30_M5.csv
US30,M15,273,2026-02-27 23:30,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US30\US30_M15.csv
US30,H1,69,2026-03-02 01:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US30\US30_H1.csv
US30,H4,18,2026-03-02 00:00,2026-03-04 20:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US30\US30_H4.csv
US30,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US30\US30_D1.csv
US100,M1,2759,2026-02-27 23:30,2026-03-04 01:01,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US100\US100_M1.csv
US100,M5,819,2026-02-27 23:30,2026-03-04 23:10,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US100\US100_M5.csv
US100,M15,273,2026-02-27 23:30,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US100\US100_M15.csv
US100,H1,69,2026-03-02 01:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US100\US100_H1.csv
US100,H4,18,2026-03-02 00:00,2026-03-04 20:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US100\US100_H4.csv
US100,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US100\US100_D1.csv
US500,M1,2761,2026-02-27 23:30,2026-03-04 01:03,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\US500\US500_M1.csv
