ts_open,ts_close,duration_s,dir,size,open_price,close_price,pnl_gross,spread_cost,slippage_cost,commission_cost,swap_cost,total_cost,pnl_net,reason_exit,z_price,state,pnl_net_fx,is_win,churn_flag,equity,dd,dd_pct
1998-11-05 00:00:00,1998-12-01 00:00:00,2246400.0,buy,0.002,293.4,293.3,-0.0199999999999931,0.05,0.01,0.014,0.78,0.854,-0.8739999999999931,ALPHA_EJECT,-1.0902814754119836,AUDITED,-0.8739999999999931,False,False,9999.126,0.0,0.0
1999-01-14 02:00:00,1999-01-21 00:00:00,597600.0,buy,0.002,286.7,286.6,-0.0199999999999931,0.05,0.01,0.014,0.2075,0.2815,-0.3014999999999931,ALPHA_EJECT,0.2582309050613987,AUDITED,-0.3014999999999931,False,False,9998.8245,0.301499999999578,0.003015263534028654
1999-03-11 00:00:00,1999-03-15 00:00:00,345600.0,buy,0.002,292.1,284.3,-1.5600000000000025,0.05,0.01,0.014,0.12,0.194,-1.7540000000000022,STOP_LOSS,0.6440514404288421,AUDITED,-1.7540000000000022,False,False,9997.0705,2.055500000000393,0.020556796664032366
1999-05-31 02:00:00,1999-06-01 00:00:00,79200.0,buy,0.002,267.9,265.7,-0.4399999999999978,0.05,0.01,0.014,0.0275,0.1015,-0.5414999999999978,ALPHA_EJECT,1.4958011506797904,AUDITED,-0.5414999999999978,False,False,9996.529,2.5969999999997526,0.025972269976393462
1999-06-07 02:00:00,1999-06-08 00:00:00,79200.0,buy,0.002,262.5,259.8,-0.5399999999999978,0.05,0.01,0.014,0.0275,0.1015,-0.6414999999999978,ALPHA_EJECT,1.07288803358701,AUDITED,-0.6414999999999978,False,False,9995.8875,3.238499999999476,0.032387830696397626
1999-06-08 02:00:00,1999-06-14 00:00:00,511200.0,buy,0.002,259.8,259.7,-0.0200000000000045,0.05,0.01,0.014,0.1775,0.2515,-0.2715000000000045,ALPHA_EJECT,-0.8690056228708438,AUDITED,-0.2715000000000045,False,False,9995.616,3.5100000000002183,0.035103068008146096
1999-06-17 02:00:00,1999-06-21 00:00:00,338400.0,buy,0.002,259.8,258.6,-0.2399999999999977,0.05,0.01,0.014,0.1175,0.1915,-0.4314999999999977,ALPHA_EJECT,1.881630064181468,AUDITED,-0.4314999999999977,False,False,9995.1845,3.941500000000815,0.03941844517211619
1999-08-17 02:00:00,1999-08-18 02:00:00,86400.0,buy,0.002,259.9,259.0,-0.1799999999999954,0.05,0.01,0.014,0.03,0.104,-0.2839999999999955,ALPHA_EJECT,0.5093296530055932,AUDITED,-0.2839999999999955,False,False,9994.9005,4.225500000000466,0.04225869340980867
1999-08-19 00:00:00,1999-08-24 00:00:00,432000.0,buy,0.002,257.6,252.6,-1.0000000000000058,0.05,0.01,0.014,0.15,0.224,-1.2240000000000058,ALPHA_EJECT,-0.1839106217224676,AUDITED,-1.2240000000000058,False,False,9993.6765,5.449500000000626,0.05449976327931686
1999-08-25 00:00:00,1999-09-06 02:00:00,1044000.0,buy,0.002,253.2,256.2,0.6,0.05,0.01,0.014,0.3625,0.4365,0.1634999999999999,ALPHA_EJECT,0.0391241446378074,AUDITED,0.1634999999999999,True,False,9993.84,5.286000000000058,0.052864620367820726
1999-09-15 00:00:00,2000-02-01 02:00:00,12016800.0,buy,0.002,256.3,285.2,5.779999999999996,0.05,0.01,0.014,4.1725,4.2465,1.5334999999999956,ALPHA_EJECT,-0.0325286855827641,AUDITED,1.5334999999999956,True,False,9995.3735,3.7525000000005093,0.037528279971674613
2000-02-03 02:00:00,2000-02-07 00:00:00,338400.0,buy,0.002,310.8,300.1,-2.139999999999998,0.05,0.01,0.014,0.1175,0.1915,-2.331499999999998,STOP_LOSS,3.168376173279999,AUDITED,-2.331499999999998,False,False,9993.042,6.084000000000742,0.0608453178807902
2000-02-08 02:00:00,2000-02-14 00:00:00,511200.0,buy,0.002,307.7,302.5,-1.0399999999999976,0.05,0.01,0.014,0.1775,0.2515,-1.2914999999999976,STOP_LOSS,1.6495092632701929,AUDITED,-1.2914999999999976,False,False,9991.7505,7.375500000000102,0.073761446750447
2000-06-05 02:00:00,2000-06-06 02:00:00,86400.0,buy,0.002,290.0,287.8,-0.4399999999999978,0.05,0.01,0.014,0.03,0.104,-0.5439999999999978,ALPHA_EJECT,0.73887483483532,AUDITED,-0.5439999999999978,False,False,9991.2065,7.919499999999971,0.07920192224800418
