"Caminho","MagicNumber","Contexto","Modificado"
"audit\paper\ADAUSD_H1\harmonic_events_ADAUSD_H1.json","777777","""wyckoff_ratio"": 3777777.7778,","2026-05-20"
"audit\paper\AUDUSD_H1\harmonic_events_AUDUSD_H1.json","777777","""wyckoff_ratio"": 4777777.7778,","2026-05-20"
"audit\paper\AUDUSD_M15\harmonic_events_AUDUSD_M15.json","777777","""wyckoff_ratio"": 8777777.7778,","2026-05-20"
"audit\paper\DOGUSD_H1\harmonic_events_DOGUSD_H1.json","777777","""wyckoff_ratio"": 4777777.7778,","2026-05-20"
"audit\paper\DOGUSD_H4\harmonic_events_DOGUSD_H4.json","777777","""wyckoff_ratio"": 8777777.7778,","2026-05-20"
"audit\paper\EURUSD_H4\harmonic_events_EURUSD_H4.json","777777","""wyckoff_ratio"": 28777777.7778,","2026-05-20"
"audit\paper\EURUSD_M15\harmonic_events_EURUSD_M15.json","777777","""wyckoff_ratio"": 1777777.7778,","2026-05-20"
"audit\paper\GBPUSD_H4\harmonic_events_GBPUSD_H4.json","500500","""wyckoff_ratio"": 50050000.0,","2026-05-20"
"audit\paper\GBPUSD_M5\harmonic_events_GBPUSD_M5.json","777777","""wyckoff_ratio"": 777777.7778,","2026-05-14"
"audit\paper\NZDUSD_H1\harmonic_events_NZDUSD_H1.json","777777","""wyckoff_ratio"": 7777777.7778,","2026-05-20"
"audit\paper\NZDUSD_H4\harmonic_events_NZDUSD_H4.json","777777","""wyckoff_ratio"": 5777777.7778,","2026-05-20"
"audit\paper\USDCAD_H1\harmonic_events_USDCAD_H1.json","777777","""wyckoff_ratio"": 3777777.7778,","2026-05-20"
"audit\paper\USDCAD_M15\harmonic_events_USDCAD_M15.json","777777","""wyckoff_ratio"": 6777777.7778,","2026-05-20"
"audit\paper\USDCHF_H4\harmonic_events_USDCHF_H4.json","500500","""wyckoff_ratio"": 50050000.0,","2026-05-20"
"audit\paper\USDCHF_M15\harmonic_events_USDCHF_M15.json","777777","""wyckoff_ratio"": 1777777.7778,","2026-05-20"
"audit\paper\XLMUSD_M15\harmonic_events_XLMUSD_M15.json","777777","""wyckoff_ratio"": 1777777.7778,","2026-05-20"
"audit\paper\XRPUSD_H4\harmonic_events_XRPUSD_H4.json","777777","""wyckoff_ratio"": 3777777.7778,","2026-05-20"
"audit\paper\XRPUSD_M15\harmonic_events_XRPUSD_M15.json","777777","""wyckoff_ratio"": 777777.7778,","2026-05-20"
"audit\paper\institutional_audit_response_CORRECTED.json","234001","""legacy_magic"": 234001","2026-05-07"
"audit\psa_inbound\OMEGA_DIAGNOSTIC_DATA_20260518\raw\OMEGA_DIAGNOSTIC_risk_config_20260518.json","234001","""legacy_magic"": 234001,","2026-05-19"
"audit\bias_audit_v10.json","234001","""magic"": 234001,","2026-04-24"
"core_engines\emergency_cleanup.py","500500","magics = [500500, 999999]","2026-04-21"
"core_engines\kill_switch_persistent.py","234001","FIX #1: Quando DD >= threshold, fecha TODAS as posicoes com MAGIC=234001","2026-05-14"
"core_engines\omega_module_v553.py","550550","magic_number: int = 550550","2026-04-21"
"inativo\emergency_cleanup.py","500500","magics = [500500, 999999]","2026-04-21"
"modules\mt5_position_tag.py","234001","- Legado apenas leitura: magic igual a `OMEGA_LEGACY_PRIMARY_MAGIC` (default ""234001"");","2026-05-03"
"scripts\build_omega_diagnostic_package_20260518.py","234001","""legacy_magic"": 234001,","2026-05-19"
"scripts\generate_ceo_operations_full_report.py","234001","L(""| legacy_magic | 234001 |"")","2026-05-18"
"live_drone_v5.py","500500","def __init__(self, base_lot: float = 0.05, magic: int = 500500):","2026-04-24"
"omega_turing_live.py","777777","def send_market_order(symbol, order_type, lots, magic=777777, sl_pts=2000, tp_pts=3000):","2026-04-21"
"omega_v550_realtime_mt5_v550.py","550550","'MAGIC': 550550,","2026-05-03"
