"Caminho","Linhas","Magic","Comentario","UltimaModificacao"
"agent_ia\tools\emergency_close.py","51","0_IMPLICITO","VER_FICHEIRO","2026-05-03 14:03"
"agent_ia\tools\fase4_wrapper.py","302","0_IMPLICITO","VER_FICHEIRO","2026-05-03 16:51"
"close_positions.py","41","0_IMPLICITO","VER_FICHEIRO","2026-05-03 14:03"
"core_engines\daily_paper_run.py","498","0_IMPLICITO","VER_FICHEIRO","2026-04-21 17:50"
"core_engines\emergency_abort.py","54;57;60","0_IMPLICITO","VER_FICHEIRO","2026-04-21 17:50"
"core_engines\emergency_cleanup.py","41;48","500500","VER_FICHEIRO","2026-04-21 17:50"
"core_engines\kill_switch_persistent.py","145","234001","VER_FICHEIRO","2026-05-14 12:48"
"core_engines\shadow_loop_BACKUP_20260509.py","967;1048;1053","0_IMPLICITO","VER_FICHEIRO","2026-05-09 20:45"
"core_engines\shadow_loop_BACKUP_lotcap_20260510.py","967;1048;1053","0_IMPLICITO","VER_FICHEIRO","2026-05-09 20:45"
"core_engines\shadow_loop_BACKUP_POSTMORTEM_20260511.py","967;1048;1053;1119;1124;1185;1190","0_IMPLICITO","VER_FICHEIRO","2026-05-11 21:51"
"core_engines\shadow_loop_BACKUP_PSA_20260512_2309.py","1010;1091;1096;1162;1167;1228;1233;2560","20260512","VER_FICHEIRO","2026-05-12 22:24"
"core_engines\shadow_loop_v2.py","28;378;437;442","0_IMPLICITO","VER_FICHEIRO","2026-05-03 14:03"
"core_engines\shadow_loop.py","1276;1387;1392;1435;1479;1491;1496;1562;1567;3142;3190","20260512","VER_FICHEIRO","2026-05-20 19:42"
"live_drone_v5.py","158;185","500500","V5.3_HFT","2026-04-24 17:49"
"main.py","253;256","0_IMPLICITO","ORDEM_REAL_EXECUTADA","2026-05-17 13:59"
"modules\risk\scale_manager.py","113;117","0_IMPLICITO","VER_FICHEIRO","2026-05-03 14:03"
"omega_scale_manager.py","113;117","0_IMPLICITO","VER_FICHEIRO","2026-05-03 14:03"
"omega_turing_live.py","69;74;151","777777","Turing_Bivariate","2026-04-21 17:50"
"omega_v550_realtime_mt5_v550.py","143;150;177;186","550550","VER_FICHEIRO","2026-05-03 14:03"
"omega_v550_realtime_mt5.py","178;185;213;222","550551","VER_FICHEIRO","2026-05-03 14:03"
"scripts\close_all_omega.py","41","0_IMPLICITO","VER_FICHEIRO","2026-05-03 14:03"
"scripts\close_omega_tracked_positions_mt5.py","62","0_IMPLICITO","VER_FICHEIRO","2026-05-03 17:24"
"scripts\kill_all_positions.py","59","0_IMPLICITO","VER_FICHEIRO","2026-05-04 00:56"
"src\agent_system_original.py","723;1421","20251203","VER_FICHEIRO","2026-04-21 17:50"
"src\executor_original.py","425;449;514;872;907","789012","VER_FICHEIRO","2026-04-21 17:50"
