symbol_a,symbol_b,pearson_daily_pnl,n_days
,,1.0,12
,AUDJPY,-0.096753,12
,AUDUSD,0.074559,12
,BNBUSD,,12
,BTCUSD,-0.091713,12
,CADJPY,0.691794,12
,CHFJPY,-0.036425,12
,DOGUSD,0.15972,12
,ETHUSD,0.151866,12
,EURJPY,0.17358,12
,EURUSD,0.103295,12
,GBPJPY,0.727474,12
,GBPUSD,0.229656,12
,GER40,-0.111094,12
,NZDUSD,0.101784,12
,SOLUSD,0.133219,12
,UK100,0.090909,12
,UKOIL+,0.043758,12
,US30,0.11524,12
,US500,0.983471,12
,USDCAD,0.190107,12
,USDCHF,-0.077006,12
,USDJPY,0.329952,12
,USOIL+,0.387659,12
,XAGUSD,-0.06879,12
,XAUUSD,0.291222,12
,XRPUSD,0.158775,12
AUDJPY,,-0.096753,12
AUDJPY,AUDJPY,1.0,12
AUDJPY,AUDUSD,0.365969,12
AUDJPY,BNBUSD,,12
AUDJPY,BTCUSD,0.025011,12
AUDJPY,CADJPY,0.337623,12
AUDJPY,CHFJPY,0.086755,12
AUDJPY,DOGUSD,0.33892,12
AUDJPY,ETHUSD,-0.093579,12
AUDJPY,EURJPY,0.73819,12
AUDJPY,EURUSD,-0.221717,12
AUDJPY,GBPJPY,-0.082629,12
AUDJPY,GBPUSD,-0.448737,12
AUDJPY,GER40,0.351352,12
AUDJPY,NZDUSD,-0.479161,12
AUDJPY,SOLUSD,-0.43396,12
AUDJPY,UK100,-0.280901,12
AUDJPY,UKOIL+,-0.369948,12
AUDJPY,US30,0.867391,12
AUDJPY,US500,0.041974,12
AUDJPY,USDCAD,-0.004521,12
AUDJPY,USDCHF,-0.138764,12
AUDJPY,USDJPY,-0.106019,12
AUDJPY,USOIL+,0.19205,12
AUDJPY,XAGUSD,0.079259,12
AUDJPY,XAUUSD,0.426338,12
AUDJPY,XRPUSD,-0.052072,12
AUDUSD,,0.074559,12
AUDUSD,AUDJPY,0.365969,12
AUDUSD,AUDUSD,1.0,12
AUDUSD,BNBUSD,,12
AUDUSD,BTCUSD,0.008847,12
AUDUSD,CADJPY,0.239908,12
AUDUSD,CHFJPY,-0.345964,12
AUDUSD,DOGUSD,-0.301308,12
AUDUSD,ETHUSD,-0.153544,12
AUDUSD,EURJPY,0.172766,12
AUDUSD,EURUSD,0.411369,12
AUDUSD,GBPJPY,-0.150585,12
AUDUSD,GBPUSD,0.565683,12
AUDUSD,GER40,0.520836,12
AUDUSD,NZDUSD,-0.392763,12
AUDUSD,SOLUSD,-0.471014,12
AUDUSD,UK100,-0.50657,12
AUDUSD,UKOIL+,-0.401835,12
AUDUSD,US30,0.349051,12
AUDUSD,US500,0.140386,12
AUDUSD,USDCAD,-0.233917,12
AUDUSD,USDCHF,-0.531209,12
AUDUSD,USDJPY,0.570977,12
AUDUSD,USOIL+,0.445092,12
AUDUSD,XAGUSD,0.451379,12
AUDUSD,XAUUSD,0.29271,12
AUDUSD,XRPUSD,-0.06535,12
BNBUSD,,,12
BNBUSD,AUDJPY,,12
BNBUSD,AUDUSD,,12
BNBUSD,BNBUSD,,12
BNBUSD,BTCUSD,,12
BNBUSD,CADJPY,,12
BNBUSD,CHFJPY,,12
BNBUSD,DOGUSD,,12
BNBUSD,ETHUSD,,12
BNBUSD,EURJPY,,12
BNBUSD,EURUSD,,12
BNBUSD,GBPJPY,,12
BNBUSD,GBPUSD,,12
BNBUSD,GER40,,12
BNBUSD,NZDUSD,,12
BNBUSD,SOLUSD,,12
BNBUSD,UK100,,12
BNBUSD,UKOIL+,,12
BNBUSD,US30,,12
BNBUSD,US500,,12
BNBUSD,USDCAD,,12
BNBUSD,USDCHF,,12
BNBUSD,USDJPY,,12
BNBUSD,USOIL+,,12
BNBUSD,XAGUSD,,12
BNBUSD,XAUUSD,,12
BNBUSD,XRPUSD,,12
BTCUSD,,-0.091713,12
BTCUSD,AUDJPY,0.025011,12
BTCUSD,AUDUSD,0.008847,12
BTCUSD,BNBUSD,,12
BTCUSD,BTCUSD,1.0,12
BTCUSD,CADJPY,-0.068328,12
BTCUSD,CHFJPY,-0.118561,12
BTCUSD,DOGUSD,-0.132863,12
BTCUSD,ETHUSD,0.603613,12
BTCUSD,EURJPY,-0.132977,12
BTCUSD,EURUSD,0.623547,12
BTCUSD,GBPJPY,-0.139668,12
BTCUSD,GBPUSD,0.011755,12
BTCUSD,GER40,0.106026,12
BTCUSD,NZDUSD,-0.075722,12
BTCUSD,SOLUSD,-0.104568,12
BTCUSD,UK100,-0.098576,12
BTCUSD,UKOIL+,-0.056753,12
BTCUSD,US30,-0.039202,12
BTCUSD,US500,-0.091858,12
BTCUSD,USDCAD,-0.115385,12
BTCUSD,USDCHF,-0.097874,12
BTCUSD,USDJPY,-0.085829,12
BTCUSD,USOIL+,0.027307,12
BTCUSD,XAGUSD,0.091541,12
BTCUSD,XAUUSD,0.301372,12
BTCUSD,XRPUSD,0.88269,12
CADJPY,,0.691794,12
CADJPY,AUDJPY,0.337623,12
CADJPY,AUDUSD,0.239908,12
CADJPY,BNBUSD,,12
CADJPY,BTCUSD,-0.068328,12
CADJPY,CADJPY,1.0,12
CADJPY,CHFJPY,0.034032,12
CADJPY,DOGUSD,0.387544,12
CADJPY,ETHUSD,0.040252,12
CADJPY,EURJPY,0.620483,12
CADJPY,EURUSD,-0.142001,12
CADJPY,GBPJPY,0.494062,12
CADJPY,GBPUSD,-0.218321,12
CADJPY,GER40,0.380947,12
CADJPY,NZDUSD,-0.424712,12
CADJPY,SOLUSD,-0.254604,12
CADJPY,UK100,-0.417566,12
CADJPY,UKOIL+,-0.61089,12
CADJPY,US30,0.298278,12
CADJPY,US500,0.691274,12
CADJPY,USDCAD,0.054613,12
CADJPY,USDCHF,-0.400015,12
CADJPY,USDJPY,0.243177,12
CADJPY,USOIL+,0.768693,12
CADJPY,XAGUSD,0.328361,12
CADJPY,XAUUSD,0.627641,12
CADJPY,XRPUSD,0.092122,12
CHFJPY,,-0.036425,12
CHFJPY,AUDJPY,0.086755,12
CHFJPY,AUDUSD,-0.345964,12
CHFJPY,BNBUSD,,12
CHFJPY,BTCUSD,-0.118561,12
CHFJPY,CADJPY,0.034032,12
CHFJPY,CHFJPY,1.0,12
CHFJPY,DOGUSD,0.711607,12
CHFJPY,ETHUSD,-0.244454,12
CHFJPY,EURJPY,0.263709,12
CHFJPY,EURUSD,-0.127248,12
CHFJPY,GBPJPY,0.637073,12
CHFJPY,GBPUSD,-0.36043,12
CHFJPY,GER40,-0.646656,12
CHFJPY,NZDUSD,0.618376,12
CHFJPY,SOLUSD,0.78723,12
CHFJPY,UK100,0.522992,12
CHFJPY,UKOIL+,0.289969,12
CHFJPY,US30,0.207624,12
CHFJPY,US500,-0.016058,12
