symbol,total_trades,gross_profit,gross_loss,profit_factor
,1,0.01,0,Inf
AUDJPY,44,106.77,137.42,0.776961
AUDUSD,8,21.78,50.36,0.432486
BNBUSD,1,0,0,NaN
BTCUSD,647,3280.74,3910.48,0.838961
CADJPY,13,50.77,37.38,1.358213
CHFJPY,34,77.7,171.28,0.453643
DOGUSD,27,0,2.59,0.0
ETHUSD,68,2.22,40.35,0.055019
EURJPY,58,71.25,178.36,0.399473
EURUSD,54,128.7,314.72,0.408935
GBPJPY,54,140.28,210.04,0.667873
GBPUSD,73,442.59,411.83,1.074691
GER40,34,79.62,21.08,3.77704
NZDUSD,25,57.85,123.87,0.467022
SOLUSD,3,0,0.07,0.0
UK100,16,3.85,4.73,0.813953
UKOIL+,11,15.6,28.7,0.543554
US30,7,0,4.58,0.0
US500,4,1.24,0.29,4.275862
USDCAD,20,1.53,55.33,0.027652
USDCHF,14,2.39,87.25,0.027393
USDJPY,101,298.79,398.56,0.749674
USOIL+,28,62.88,18.98,3.312961
XAGUSD,14,141.3,92.55,1.526742
XAUUSD,242,2140.79,2801.68,0.764109
XRPUSD,112,14.97,122.35,0.122354
