symbol,timeframe,sl_triggers,tp_triggers,expert_triggers,total_exits,sl_rate,tp_rate
AUDJPY,H1,22,6,7,35,0.628571,0.171429
AUDJPY,H4,3,1,3,7,0.428571,0.142857
AUDJPY,M15,8,0,2,10,0.8,0.0
AUDJPY,M5,2,0,1,3,0.666667,0.0
AUDUSD,H1,2,1,0,3,0.666667,0.333333
AUDUSD,H4,3,0,1,4,0.75,0.0
AUDUSD,M5,1,0,0,1,1.0,0.0
AUDUSD,NA,1,0,0,1,1.0,0.0
BNBUSD,H1,1,0,0,1,1.0,0.0
BTCUSD,H1,375,16,32,423,0.886525,0.037825
BTCUSD,H4,11,1,6,18,0.611111,0.055556
BTCUSD,M5,234,8,5,247,0.947368,0.032389
CADJPY,H1,5,2,8,15,0.333333,0.133333
CHFJPY,H1,14,2,0,16,0.875,0.125
CHFJPY,H4,3,0,0,3,1.0,0.0
CHFJPY,M15,12,1,2,15,0.8,0.066667
DOGUSD,H1,8,0,13,21,0.380952,0.0
DOGUSD,M15,1,0,5,6,0.166667,0.0
ETHUSD,H1,48,1,1,50,0.96,0.02
ETHUSD,M15,15,0,2,17,0.882353,0.0
ETHUSD,NA,1,0,0,1,1.0,0.0
EURJPY,H1,29,4,6,39,0.74359,0.102564
EURJPY,H4,2,0,0,2,1.0,0.0
EURJPY,M15,16,0,7,23,0.695652,0.0
EURJPY,M5,3,0,2,5,0.6,0.0
EURUSD,H1,36,6,14,56,0.642857,0.107143
EURUSD,H4,1,0,0,1,1.0,0.0
EURUSD,M15,4,0,1,5,0.8,0.0
EURUSD,M5,5,0,0,5,1.0,0.0
EURUSD,NA,1,0,0,1,1.0,0.0
GBPJPY,H1,14,5,5,24,0.583333,0.208333
GBPJPY,H4,11,1,2,14,0.785714,0.071429
GBPJPY,M15,20,0,5,25,0.8,0.0
GBPJPY,M5,1,0,1,2,0.5,0.0
GBPUSD,H1,33,6,13,52,0.634615,0.115385
GBPUSD,H4,6,2,5,13,0.461538,0.153846
GBPUSD,M15,5,2,4,11,0.454545,0.181818
GBPUSD,M5,10,4,2,16,0.625,0.25
GBPUSD,NA,1,0,0,1,1.0,0.0
GER40,H1,20,4,0,24,0.833333,0.166667
GER40,M15,7,3,3,13,0.538462,0.230769
NZDUSD,H1,12,3,10,25,0.48,0.12
NZDUSD,H4,2,0,0,2,1.0,0.0
NZDUSD,M15,5,0,0,5,1.0,0.0
SOLUSD,H1,3,0,0,3,1.0,0.0
UK100,H1,13,2,0,15,0.866667,0.133333
UK100,H4,1,0,0,1,1.0,0.0
UKOIL+,H1,4,0,2,6,0.666667,0.0
UKOIL+,H4,1,0,0,1,1.0,0.0
UKOIL+,M15,5,1,2,8,0.625,0.125
US30,H1,5,0,0,5,1.0,0.0
US30,M15,1,0,0,1,1.0,0.0
US30,M5,1,0,0,1,1.0,0.0
US500,H1,3,1,1,5,0.6,0.2
USDCAD,H1,12,0,4,16,0.75,0.0
USDCAD,H4,2,0,3,5,0.4,0.0
USDCHF,H1,13,0,1,14,0.928571,0.0
USDCHF,M15,1,0,0,1,1.0,0.0
USDJPY,H1,57,7,7,71,0.802817,0.098592
USDJPY,M15,4,0,0,4,1.0,0.0
USDJPY,M5,24,9,0,33,0.727273,0.272727
USOIL+,H1,14,2,9,25,0.56,0.08
USOIL+,M15,4,1,2,7,0.571429,0.142857
XAGUSD,H1,3,1,0,4,0.75,0.25
XAGUSD,M15,6,2,2,10,0.6,0.2
XAUUSD,H1,143,17,27,187,0.764706,0.090909
XAUUSD,H4,7,0,0,7,1.0,0.0
XAUUSD,M15,7,0,5,12,0.583333,0.0
XAUUSD,M5,35,5,0,40,0.875,0.125
XRPUSD,H1,53,1,22,76,0.697368,0.013158
XRPUSD,H4,12,1,4,17,0.705882,0.058824
XRPUSD,M15,9,2,1,12,0.75,0.166667
XRPUSD,M5,5,0,1,6,0.833333,0.0
XRPUSD,NA,1,0,0,1,1.0,0.0
