signal_source,symbol,timeframe,total_trades,winning_trades,losing_trades,win_rate,gross_profit,gross_loss,profit_factor,avg_pnl
MOMENTUM_MT5,AUDJPY,H4,1,0,1,0.0,0,8.4,0.0,-8.4
MOMENTUM_MT5,BTCUSD,H1,63,0,63,0.0,0,711.7,0.0,-11.296825
MOMENTUM_MT5,BTCUSD,H4,3,0,3,0.0,0,5.75,0.0,-1.916667
MOMENTUM_MT5,BTCUSD,M5,56,0,56,0.0,0,115.47,0.0,-2.061964
MOMENTUM_MT5,DOGUSD,H1,1,0,1,0.0,0,0.08,0.0,-0.08
MOMENTUM_MT5,DOGUSD,M15,1,0,1,0.0,0,0.04,0.0,-0.04
MOMENTUM_MT5,ETHUSD,H1,16,0,16,0.0,0,12.35,0.0,-0.771875
MOMENTUM_MT5,ETHUSD,M15,3,0,3,0.0,0,0.48,0.0,-0.16
MOMENTUM_MT5,GBPJPY,M15,1,0,1,0.0,0,8.42,0.0,-8.42
MOMENTUM_MT5,GER40,H1,9,0,9,0.0,0,6.57,0.0,-0.73
MOMENTUM_MT5,GER40,M15,3,0,3,0.0,0,3.3,0.0,-1.1
MOMENTUM_MT5,UK100,H1,2,0,2,0.0,0,0.68,0.0,-0.34
MOMENTUM_MT5,USDJPY,H1,1,0,1,0.0,0,5.05,0.0,-5.05
MOMENTUM_MT5,XAGUSD,H1,1,0,1,0.0,0,12.5,0.0,-12.5
MOMENTUM_MT5,XAGUSD,M15,2,0,2,0.0,0,22.3,0.0,-11.15
MOMENTUM_MT5,XAUUSD,H1,9,0,9,0.0,0,123.1,0.0,-13.677778
MOMENTUM_MT5,XAUUSD,M15,1,0,1,0.0,0,12.15,0.0,-12.15
MOMENTUM_MT5,XAUUSD,M5,1,0,1,0.0,0,13.5,0.0,-13.5
MOMENTUM_MT5,XRPUSD,H1,1,0,1,0.0,0,0.37,0.0,-0.37
MOMENTUM_MT5,XRPUSD,M15,1,0,1,0.0,0,0.4,0.0,-0.4
NULL,,NA,1,1,0,1.0,0.01,0,Inf,0.01
NULL,AUDJPY,H1,28,10,18,0.357143,83.46,75.72,1.102219,0.276429
NULL,AUDJPY,H4,4,3,1,0.75,21.95,5.56,3.947842,4.0975
NULL,AUDJPY,M15,9,1,8,0.111111,0.8,43.73,0.018294,-4.77
NULL,AUDJPY,M5,2,1,1,0.5,0.56,4.01,0.139651,-1.725
NULL,AUDUSD,H1,3,1,2,0.333333,21.0,13.57,1.547531,2.476667
NULL,AUDUSD,H4,3,1,2,0.333333,0.78,8.79,0.088737,-2.67
NULL,AUDUSD,M5,1,0,0,0.0,0,0,NaN,0.0
NULL,AUDUSD,NA,1,0,1,0.0,0,28.0,0.0,-28.0
NULL,BNBUSD,H1,1,0,0,0.0,0,0,NaN,0.0
NULL,BTCUSD,H1,329,36,292,0.109422,2857.56,2671.15,1.069786,0.566596
NULL,BTCUSD,H4,9,5,4,0.555556,23.96,37.75,0.634702,-1.532222
