ticket,position_id,symbol,entry,profit,reason,reason_label,timestamp_utc,volume,price,sl,tp,timezone_note,magic,commission,swap,fee,comment,order
186103535,182235357,GBPUSD,1,-74.5,4,SL,2026-05-04 00:05:00,0.25,1.36014,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,234001,0.0,-0.62,0.0,[sl 1.35788],182298963
186103536,182235359,AUDUSD,1,-28.0,4,SL,2026-05-04 00:05:00,0.25,0.72156,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,234001,0.0,-0.92,0.0,[sl 0.72118],182298964
186103585,182298840,XRPUSD,1,-0.43,4,SL,2026-05-04 00:05:01,0.1,1.38985,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,0,0.0,0.0,0.0,[sl 1.39115],182299023
186103649,182235360,EURUSD,1,-72.75,4,SL,2026-05-04 00:05:01,0.25,1.17482,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,234001,0.0,0.87,0.0,[sl 1.17257],182299058
186104596,182300009,BTCUSD,0,0.0,3,EXPERT,2026-05-04 00:07:52,0.1,78984.3,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,0,0.0,0.0,0.0,OV2|206939|H1|B,182300009
186104658,182300069,XRPUSD,0,0.0,3,EXPERT,2026-05-04 00:08:26,0.1,1.3933,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,0,0.0,0.0,0.0,OV2|06bf37|H1|S,182300069
186104662,182300009,BTCUSD,1,-1.81,4,SL,2026-05-04 00:08:29,0.1,78966.19,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,0,0.0,0.0,0.0,[sl 78967.80],182300072
186104920,182298908,ETHUSD,1,-0.2,4,SL,2026-05-04 00:10:03,0.1,2331.607,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,0,0.0,0.0,0.0,[sl 2331.146],182300334
186105044,182300437,BTCUSD,0,0.0,3,EXPERT,2026-05-04 00:10:45,0.1,79016.75,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,0,0.0,0.0,0.0,OV2|384b74|H1|B,182300437
186105226,182300594,ETHUSD,0,0.0,3,EXPERT,2026-05-04 00:12:07,0.1,2332.019,0.0,0.0,converted_from_iso8601_offset_to_utc_naive,0,0.0,0.0,0.0,OV2|915f9d|H1|S,182300594
