ticket,order,time,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id
186103535,182298963,2026-05-04T00:05:00+00:00,1777853100913,0,1,234001,182235357,4,0.25,1.36014,0.0,-0.62,-74.5,0.0,GBPUSD,[sl 1.35788],
186103536,182298964,2026-05-04T00:05:00+00:00,1777853100914,0,1,234001,182235359,4,0.25,0.72156,0.0,-0.92,-28.0,0.0,AUDUSD,[sl 0.72118],
186103585,182299023,2026-05-04T00:05:01+00:00,1777853101349,1,1,0,182298840,4,0.1,1.38985,0.0,0.0,-0.43,0.0,XRPUSD,[sl 1.39115],
186103649,182299058,2026-05-04T00:05:01+00:00,1777853101918,0,1,234001,182235360,4,0.25,1.17482,0.0,0.87,-72.75,0.0,EURUSD,[sl 1.17257],
186104596,182300009,2026-05-04T00:07:52+00:00,1777853272453,0,0,0,182300009,3,0.1,78984.3,0.0,0.0,0.0,0.0,BTCUSD,OV2|206939|H1|B,
186104658,182300069,2026-05-04T00:08:26+00:00,1777853306472,1,0,0,182300069,3,0.1,1.3933,0.0,0.0,0.0,0.0,XRPUSD,OV2|06bf37|H1|S,
186104662,182300072,2026-05-04T00:08:29+00:00,1777853309089,1,1,0,182300009,4,0.1,78966.19,0.0,0.0,-1.81,0.0,BTCUSD,[sl 78967.80],
186104920,182300334,2026-05-04T00:10:03+00:00,1777853403135,0,1,0,182298908,4,0.1,2331.607,0.0,0.0,-0.2,0.0,ETHUSD,[sl 2331.146],
186105044,182300437,2026-05-04T00:10:45+00:00,1777853445208,0,0,0,182300437,3,0.1,79016.75,0.0,0.0,0.0,0.0,BTCUSD,OV2|384b74|H1|B,
186105226,182300594,2026-05-04T00:12:07+00:00,1777853527238,1,0,0,182300594,3,0.1,2332.019,0.0,0.0,0.0,0.0,ETHUSD,OV2|915f9d|H1|S,
186105535,182300926,2026-05-04T00:14:25+00:00,1777853665741,0,1,0,182300069,4,0.1,1.3968,0.0,0.0,-0.35,0.0,XRPUSD,[sl 1.39677],
186105554,182300941,2026-05-04T00:14:35+00:00,1777853675648,1,0,0,182300941,3,0.1,1.39475,0.0,0.0,0.0,0.0,XRPUSD,OV2|153641|H1|S,
186105768,182301122,2026-05-04T00:16:57+00:00,1777853817218,1,1,0,182300437,4,0.1,78993.83,0.0,0.0,-2.29,0.0,BTCUSD,[sl 79000.25],
186106029,182301361,2026-05-04T00:19:25+00:00,1777853965003,0,0,0,182301361,3,0.1,78969.11,0.0,0.0,0.0,0.0,BTCUSD,OV2|2b7a9f|H1|B,
186106587,182301820,2026-05-04T00:24:42+00:00,1777854282373,1,1,0,182301361,4,0.1,78946.62,0.0,0.0,-2.25,0.0,BTCUSD,[sl 78950.61],
186106684,182301907,2026-05-04T00:25:43+00:00,1777854343380,0,0,0,182301907,3,0.1,78931.66,0.0,0.0,0.0,0.0,BTCUSD,OV2|70776d|H1|B,
186106739,182302004,2026-05-04T00:26:42+00:00,1777854402036,1,1,0,182301907,4,0.1,78912.27,0.0,0.0,-1.94,0.0,BTCUSD,[sl 78915.16],
186106740,182302010,2026-05-04T00:26:43+00:00,1777854403101,0,0,0,182302010,3,0.1,78920.99,0.0,0.0,0.0,0.0,BTCUSD,OV2|439b29|H1|B,
186106924,182302413,2026-05-04T00:30:26+00:00,1777854626522,1,1,0,182302010,4,0.1,78901.38,0.0,0.0,-1.96,0.0,BTCUSD,[sl 78902.49],
186110792,182304961,2026-05-04T01:02:48+00:00,1777856568252,0,1,0,182300594,4,0.1,2334.67,0.0,0.0,-0.27,0.0,ETHUSD,[sl 2333.519],
186110944,182305108,2026-05-04T01:02:50+00:00,1777856570436,0,1,0,182300941,4,0.1,1.39966,0.0,0.0,-0.49,0.0,XRPUSD,[sl 1.39935],
