ts_open,ts_close,duration_s,dir,size,open_price,close_price,pnl_gross,spread_cost,slippage_cost,commission_cost,swap_cost,total_cost,pnl_net,reason_exit,z_price,state
2016-05-09 01:00:00,2016-05-30 00:00:00,1810800.0,sell,0.03,1285.4,1204.94,241.38,0.75,0.15,0.21,3.14,4.25,237.13,TAKE_PROFIT,-1.64,AUDITED
2016-06-03 01:00:00,2016-06-03 11:00:00,36000.0,buy,0.03,1207.8,1211.3,10.5,0.75,0.15,0.21,0.19,1.3,9.2,ALPHA_EJECT,-0.02,AUDITED
2016-06-24 06:00:00,2016-06-24 09:00:00,10800.0,buy,0.03,1337.2,1313.2,-72.0,0.75,0.15,0.21,0.06,1.17,-73.17,STOP_LOSS,3.05,AUDITED
2016-07-01 01:00:00,2016-07-15 01:00:00,1209600.0,buy,0.03,1321.7,1335.1,40.2,0.75,0.15,0.21,6.3,7.41,32.79,ALPHA_EJECT,-0.72,AUDITED
2016-08-24 01:00:00,2016-08-25 00:00:00,82800.0,sell,0.03,1337.68,1321.68,48.0,0.75,0.15,0.21,0.14,1.25,46.75,ALPHA_EJECT,-2.4,AUDITED
2016-10-04 01:00:00,2016-10-04 23:00:00,79200.0,sell,0.03,1311.69,1268.63,129.18,0.75,0.15,0.21,0.14,1.25,127.93,ALPHA_EJECT,-3.25,AUDITED
2016-10-28 20:00:00,2016-11-07 22:00:00,871200.0,buy,0.03,1277.33,1281.58,12.75,0.75,0.15,0.21,4.54,5.65,7.1,ALPHA_EJECT,-2.09,AUDITED
2016-11-09 05:00:00,2016-11-09 08:00:00,10800.0,buy,0.03,1331.31,1308.22,-69.27,0.75,0.15,0.21,0.06,1.17,-70.44,STOP_LOSS,2.43,AUDITED
2016-11-23 15:00:00,2016-11-29 13:00:00,511200.0,sell,0.03,1188.2,1184.65,10.65,0.75,0.15,0.21,0.89,2.0,8.65,ALPHA_EJECT,-0.35,AUDITED
2016-12-14 21:00:00,2016-12-16 15:00:00,151200.0,sell,0.03,1142.49,1131.4,33.27,0.75,0.15,0.21,0.26,1.37,31.9,ALPHA_EJECT,-1.12,AUDITED
2016-12-29 18:00:00,2017-01-03 00:00:00,367200.0,buy,0.03,1155.61,1158.13,7.56,0.75,0.15,0.21,1.91,3.02,4.54,ALPHA_EJECT,0.28,AUDITED
2017-01-17 01:00:00,2017-01-27 04:00:00,874800.0,buy,0.03,1203.88,1183.76,-60.36,0.75,0.15,0.21,4.56,5.67,-66.03,STOP_LOSS,-1.91,AUDITED
2017-02-06 01:00:00,2017-02-06 13:00:00,43200.0,buy,0.03,1223.6,1228.44,14.52,0.75,0.15,0.21,0.23,1.33,13.19,ALPHA_EJECT,1.85,AUDITED
2017-03-02 01:00:00,2017-03-14 06:00:00,1054800.0,sell,0.03,1247.65,1202.94,134.13,0.75,0.15,0.21,1.83,2.94,131.19,ALPHA_EJECT,-0.31,AUDITED
2017-03-15 21:00:00,2017-03-16 08:00:00,39600.0,buy,0.03,1220.15,1226.39,18.72,0.75,0.15,0.21,0.21,1.32,17.4,ALPHA_EJECT,2.89,AUDITED
2017-04-07 04:00:00,2017-04-11 00:00:00,331200.0,buy,0.03,1264.54,1273.42,26.64,0.75,0.15,0.21,1.73,2.83,23.81,ALPHA_EJECT,-0.12,AUDITED
2017-04-24 01:00:00,2017-05-02 02:00:00,694800.0,sell,0.03,1274.02,1256.36,52.98,0.75,0.15,0.21,1.21,2.32,50.66,ALPHA_EJECT,-2.59,AUDITED
2017-11-03 16:00:00,2017-11-06 01:00:00,205200.0,sell,0.03,1268.6,1268.28,0.96,0.75,0.15,0.21,0.36,1.47,-0.51,ALPHA_EJECT,2.12,AUDITED
2018-12-07 01:00:00,2018-12-10 14:00:00,306000.0,buy,0.03,1237.24,1246.77,28.59,0.75,0.15,0.21,1.59,2.7,25.89,ALPHA_EJECT,1.2,AUDITED
2018-12-24 01:00:00,2019-01-10 22:00:00,1544400.0,buy,0.03,1258.69,1286.13,82.32,0.75,0.15,0.21,8.04,9.15,73.17,ALPHA_EJECT,-0.06,AUDITED
2019-01-18 01:00:00,2019-01-30 00:00:00,1033200.0,sell,0.03,1292.14,1319.79,-82.95,0.75,0.15,0.21,1.79,2.9,-85.85,STOP_LOSS,1.54,AUDITED
2019-02-06 01:00:00,2019-02-06 12:00:00,39600.0,sell,0.03,1314.79,1313.2,4.77,0.75,0.15,0.21,0.07,1.18,3.59,ALPHA_EJECT,-0.62,AUDITED
2019-03-08 01:00:00,2019-04-24 08:00:00,4086000.0,buy,0.03,1285.82,1269.73,-48.27,0.75,0.15,0.21,21.28,22.39,-70.66,ALPHA_EJECT,-1.85,AUDITED
2019-08-23 18:00:00,2019-09-04 13:00:00,1018800.0,buy,0.03,1527.98,1536.47,25.47,0.75,0.15,0.21,5.31,6.42,19.05,ALPHA_EJECT,0.74,AUDITED
2019-09-20 01:00:00,2019-09-23 16:00:00,313200.0,buy,0.03,1498.06,1522.18,72.36,0.75,0.15,0.21,1.63,2.74,69.62,ALPHA_EJECT,1.97,AUDITED
2019-11-07 01:00:00,2019-11-19 10:00:00,1069200.0,sell,0.03,1490.18,1467.96,66.66,0.75,0.15,0.21,1.86,2.97,63.69,ALPHA_EJECT,0.75,AUDITED
2019-12-02 18:00:00,2019-12-03 21:00:00,97200.0,buy,0.03,1463.33,1478.44,45.33,0.75,0.15,0.21,0.51,1.62,43.71,ALPHA_EJECT,3.08,AUDITED
2019-12-23 01:00:00,2020-01-06 00:00:00,1206000.0,buy,0.03,1478.42,1565.5,261.24,0.75,0.15,0.21,6.28,7.39,253.85,TAKE_PROFIT,2.21,AUDITED
2020-01-27 01:00:00,2020-01-30 17:00:00,316800.0,buy,0.03,1582.65,1583.56,2.73,0.75,0.15,0.21,1.65,2.76,-0.03,ALPHA_EJECT,0.44,AUDITED
2020-02-18 01:00:00,2020-02-24 01:00:00,518400.0,buy,0.03,1584.19,1665.39,243.6,0.75,0.15,0.21,2.7,3.81,239.79,TAKE_PROFIT,2.69,AUDITED
2020-03-05 01:00:00,2020-03-12 00:00:00,601200.0,buy,0.03,1636.57,1577.06,-178.53,0.75,0.15,0.21,3.13,4.24,-182.77,STOP_LOSS,-2.24,AUDITED
2020-03-23 01:00:00,2020-03-24 00:00:00,82800.0,buy,0.03,1488.79,1622.9,402.33,0.75,0.15,0.21,0.43,1.54,400.79,TAKE_PROFIT,2.32,AUDITED
2020-03-31 01:00:00,2020-04-02 09:00:00,201600.0,sell,0.03,1617.88,1591.24,79.92,0.75,0.15,0.21,0.35,1.46,78.46,ALPHA_EJECT,-1.24,AUDITED
2020-06-03 18:00:00,2020-06-10 00:00:00,540000.0,sell,0.03,1699.54,1738.74,-117.6,0.75,0.15,0.21,0.94,2.05,-119.65,STOP_LOSS,1.17,AUDITED
